title,genre,rating,status,episodes,release year,description
BanG Dream! It's MyGO!!!!!,"['Anime', 'Âm nhạc']","['6.4', '42']",Hoàn thành,11,2023,"Kasumi, người luôn tìm kiếm thứ gì đó giống như ""giai điệu của vì sao"", một cảm giác như khi nhìn lên những vì sao trên bầu trời đêm thời nhỏ. Sau khi vào trường cấp 3, cô đã tìm thấy một cây đàn guitar với hình dáng giống như ngôi sao, cô thấy lòng mình lần đầu tiên rộn rã như vậy, sau một thời gian dài tâm hồn đã khép kia nay đã mở lại."
World Dai Star,"['Anime', 'Đời thường', 'Âm nhạc']","['5.0', '54']",Đang tiến hành,12,2023,N/A
Kizuna no Allele,"['Anime', 'Âm nhạc']","['5.6', '82']",Hoàn thành,12,2023,"Kizuna Ai xuất hiện như một ngôi sao chổi trong thế giới ảo, và trở nên nổi tiếng trong chớp mắt. Sau 5 năm liên tiếp giành được Lapin Doll tại Virtual Grid Awards, cô ấy đột ngột biến mất. Vài tháng đã trôi qua kể từ đó... ADEN Academy là một ngôi trường chuyên đào tạo những tài năng mới, những người sẽ ra mắt trong thế giới ảo. Một cô gái trẻ tên là Miracle đã xin đăng ký vào học viện với niềm tin: ""Tôi muốn trở thành một nghệ sĩ ảo giống như AI!"". Ở đó, cô ấy sẽ gặp đủ loại người và tạo ra những kỷ niệm tuyệt vời với họ khi mỗi người theo đuổi ước mơ của mình. Bạn đã sẵn sàng chưa?"
UniteUp!,"['Anime', 'Âm nhạc']","['5.0', '63']",Đang tiến hành,5,2023,N/A
Vazzrock The Animation,"['Anime', 'Âm nhạc']","['3.2', '64']",Hoàn thành,13,2022,Một bộ anime về âm nhạc
Bocchi the Rock!,"['Anime', 'Hài hước', 'Đời thường', 'Âm nhạc']","['9.1', '335']",Hoàn thành,12,2022,"Câu chuyện kể về Hitori “Bocchi-chan” Goto, một nữ sinh trung học cô đơn dành trọn trái tim cho cây đàn của mình. Cả ngày cô ấy không làm gì khác ngoại trừ việc tự gảy đàn guitar ở nhà. Tuy nhiên, một ngày nọ, cô tình cờ gặp Nijika Ijichi, người đang tìm kiếm một tay guitar cho nhóm của cô có tên là “Kessoku Band”."
Massara,"['Anime', 'Đời thường', 'Âm nhạc']","['7.7', '72']",Hoàn thành,1,2022,"Massara là một đoạn ngắn gốc lấy cảm hứng từ bài hát cùng tên của Kiyoe Yoshioka (của Ikimono-gakari). Bài hát là đĩa đơn solo đầu tiên của Yoshioka. Phim ngắn được đạo diễn bởi Keita Nagahara, và hoạt hình bởi studio Enishiya Inc. Câu chuyện của anime xoay quanh một ca sĩ kiêm nhạc sĩ, Nazuna, người sắp ngừng theo đuổi ước mơ của mình và một cô gái rất nhút nhát, Yuna. Họ gặp gỡ và ảnh hưởng lẫn nhau để tạo ra tương lai của chính họ."
Luminous Witches,"['Anime', 'Âm nhạc', 'Quân đội', 'Viễn tưởng']","['7.1', '71']",Hoàn thành,12,2022,"Loạt phim Luminous Witches cũng có một ban nhạc thần tượng ngoài đời thực là Liên đoàn Không quân Không quân Ban nhạc Ma thuật Luminous Witches , bao gồm các diễn viên lồng tiếng trong loạt phim. Narumi Mai, Minako Hosokawa, Aimoto Ami, Ryo Mamiya và Sae Tsuzuki đều là những nhân vật lồng tiếng cũng như ca hát, cùng với Momo Hanae, Miu Kotosaka, Misaki Yuki và Kyo Tachibana. Xem đĩa đơn đầu tay “Flying Skyhigh” dưới đây:"
RWBY: Hyousetsu Teikoku,"['Anime', 'Hành động', 'Âm nhạc']","['7.8', '109']",Hoàn thành,10,2022,"RWBY là một thế giới giả tưởng chứa đầy những con quái vật khủng khiếp nhắm vào cái chết, sự hủy diệt và hy vọng duy nhất của nhân loại là phụ thuộc vào những Huntsmen và Huntresses mạnh mẽ. Ruby Rose, Weiss Schnee, Blake Belladonna và Yang Xiao Long là bốn Huntresses như vậy đang được huấn luyện để đưa họ vượt xa khuôn viên học viện Beacon - nơi họ đang học tập. Mặc dù mỗi người sở hữu sức mạnh riêng nhưng bốn cô gái này phải vượt qua được thế lực đen tối và làm việc đồng đội nếu họ thực sự hy vọng trở thành thế hệ tiếp theo của những người bảo vệ Remnant."
Kami Kuzu☆Idol,"['Anime', 'Hài hước', 'Âm nhạc', 'Siêu nhiên']","['6.2', '56']",Hoàn thành,10,2022,"Câu chuyện kể về Yuuya Niyodo lười biếng, thành viên của bộ đôi thần tượng ZINGS. Một ngày sau một buổi biểu diễn cẩu thả, Yuuya gặp Asahi Mogami, một nữ thần tượng vui vẻ. Điều khó khăn là Asahi đã chết được một năm và điều này khiến cuộc sống của Yuuya bị đảo lộn."
Healer Girl,"['Anime', 'Âm nhạc']","['6.4', '50']",Đang tiến hành,12,2022,"Câu chuyện kể về bốn cô gái tìm cách sử dụng các bài hát của họ để chữa lành và xoa dịu mọi người trong thế giới của họ. Khẩu hiệu là ""Những bài hát tốt bụng, mạnh mẽ đã chữa lành thế giới. Đây là những phép màu tuyệt đẹp được nhân loại hát lên."""
Cue!,"['Anime', 'Âm nhạc']","['7.4', '66']",Đang tiến hành,24,2022,"Anime dựa trên trò chơi di động cùng tên của Liber Entertainment, trong đó người chơi đào tạo các diễn viên lồng tiếng mới nổi. (Nguồn: Wikipedia)"
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,"['Anime', 'Học đường', 'Đời thường', 'Âm nhạc']","['7.0', '41']",Đang tiến hành,13,2022,Mùa thứ 2 của anime Love Live! Nijigasaki Gakuen School Idol Doukoukai.
Irodorimidori,"['Anime', 'Đời thường', 'Âm nhạc']","['7.8', '29']",Đang tiến hành,8,2022,N/A
Ai no Utagoe wo Kikasete,"['Anime', 'Giả tưởng', 'Học đường', 'Âm nhạc', 'Drama']","['9.1', '78']",Hoàn thành,1,2021,"Bộ phim kể về câu chuyện của một học sinh mới chuyển đến quan tâm đến môi trường xung quanh mình, và một bài hát mang lại hạnh phúc cho cô và các bạn cùng lớp."
Shoujo☆Kageki Revue Starlight Movie,"['Anime', 'Học đường', 'Âm nhạc']","['6.9', '20']",Đang tiến hành,1,2021,N/A
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,"['Anime', 'Học đường', 'Âm nhạc']","['5.5', '22']",Đang tiến hành,1,2020,N/A
Lookism,"['Anime', 'Hài hước', 'Học đường', 'Đời thường', 'Psychological', 'Drama']","['8.3', '63']",Hoàn thành,8,2022,N/A
Summertime Render,"['Anime', 'Psychological', 'Drama', 'Siêu nhiên']","['9.5', '844']",Hoàn thành,25,2022,"Đã 2 năm kể từ khi lên Tokyo học cấp ba, Shinpei chưa từng một lần về quê thăm gia đình. Lần này về lại quê, cậu cũng chỉ để dự tang lễ của người bạn thân Ushio đã mất trước khi cậu kịp hoàn thành lời hứa với cô. Tuy nhiên, dường như cái chết của Ushio lại không đơn giản mà bộc lộ nhiều nghi vấn. Đồng thời cùng lúc đó, nhiều người lại bắt đầu mất tích đẩy Shinpei vào vòng xoáy bí ẩn."
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,"['Anime', 'Học đường', 'Psychological', 'Drama']","['9.5', '979']",Hoàn thành,13,2022,Phần tiếp theo của Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu
Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Anime', 'Hài hước', 'Tình cảm', 'Học đường', 'Psychological']","['9.6', '662']",Hoàn thành,13,2022,Phần thứ của series Kaguya-sama
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) Final Season - Asaki Yume no Akatsuki,"['Anime', 'Psychological', 'Drama']","['7.1', '28']",Đang tiến hành,3,2022,Mùa cuối cùng của Series Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV).
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,"['Anime', 'Hành động', 'Kinh dị', 'Bí ẩn', 'Psychological']","['8.7', '97']",Hoàn thành,11,2016,"Lưu ý : bộ anime này không có phần 2, phần 2 ở game và phần 2 cũng không liên quan tới cốt truyện chính."
TRESE: Người Bảo Vệ Thành Phố ,"['Anime', 'Kinh dị', 'Psychological']","['6.1', '14']",Hoàn thành,6,2021,"Tại Manila, khi các thế lực siêu nhiên đen tối thâm nhập khắp thế giới tội phạm ngầm, việc gìn giữ hòa bình phụ thuộc vào Alexandra Trese. Nhưng một cơn bão sắp kéo đến!"
Yakusoku no Neverland 2nd Season,"['Anime', 'Viễn tưởng', 'Shounen', 'Bí ẩn', 'Psychological', 'Thriller']","['9.5', '794']",Hoàn thành,11,2021,Mùa thứ hai của Yakusoku no Neverland
Beastars 2nd Season,"['Anime', 'Đời thường', 'Shounen', 'Drama', 'Psychological']","['8.8', '149']",Hoàn thành,12,2021,Phần 2 của bộ phim Beastars 
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"['Anime', 'Giả tưởng', 'Drama', 'Psychological', 'Thriller']","['9.3', '1269']",Hoàn thành,25,2020,Nối tiếp ngay sau kết thúc của phần 1
Higurashi no Naku Koro ni Gou,"['Anime', 'Kinh dị', 'Siêu nhiên', 'Bí ẩn', 'Psychological', 'Thriller']","['8.1', '135']",Hoàn thành,24,2020,"Maebara Keiichi chuyển đến sống tại làng Hinamizawa thanh tịnh và nhập học vào một ngôi trường tổng hợp tất cả các khối lớp. Cậu là thành viên nam của một clb toàn nữ. Tưởng chừng như đó là một cuộc sống học đường đầy niềm vui, Keiichi vô tình phát hiện ra một sự thật thần bí bị che đậy bởi bạn bè cậu và ngôi làng. Vụ giết người hàng loạt Hinamizawa."
 Munou na Nana,"['Anime', 'Shounen', 'Drama', 'Psychological', 'Siêu năng lực', 'Thriller']","['7.9', '332']",Hoàn thành,14,2020,"Đó là năm 20XX. Trái đất đã bị tấn công bởi những con quái vật được gọi là Kẻ thù của nhân loại. Để đối phó với mối đe dọa này, các trường học đặc biệt gồm những thanh thiếu niên có khả năng phi thường đã được thành lập. Những người này, những người được gọi là Người tài năng, có khả năng có thể thách thức các quy tắc của thực tế. Trong số những người có sức mạnh siêu nhiên này là một người ngoại tộc, một cá nhân được gửi đến một trong những trường này mặc dù không có khả năng đặc biệt bẩm sinh nào. Đây là câu chuyện về nhân vật chính của chúng ta, người cố gắng đánh bại Kẻ thù của loài người thông qua việc sử dụng trí thông minh và thao túng một mình. (Nguồn: MU)"
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen Season 2,"['Anime', 'Tình cảm', 'Hài hước', 'Học đường', 'Seinen', 'Psychological']","['9.8', '1318']",Hoàn thành,12,2020,Phần 2 của Kaguya-sama wa Kokurasetai
Re:Zero kara Hajimeru Isekai Seikatsu,"['Anime', 'Giả tưởng', 'Drama', 'Psychological', 'Thriller', 'Tình cảm']","['9.2', '2273']",Hoàn thành,27,2016,"1 thanh niên đi mua tạp hóa đang trên đường về bỗng dưng được triệu hồi sang thế giới khác, ở đó anh chết đi lại quay về thời điểm bắt đầu."
Pet,"['Anime', 'Siêu nhiên', 'Bí ẩn', 'Seinen', 'Psychological']","['7.6', '57']",Hoàn thành,13,2020,"Có những con người mang khả năng nhìn thấu được tâm trí và điều khiển người khác theo ý thích của bản thân. Năng lực này được sử dụng để giải các bí ẩn, phá án hoặc cả ám sát. Tiềm năng của nó đủ sức để phá nát tâm trí một con người, song khi phản tác dụng, nó sẽ nuốt chửng tâm can của bản thân. Để bảo vệ nó, người ta dùng những sợi xích tâm cảm để khóa chặt những trái tim và tâm trí yếu đuối lại, họ gọi đó là ""pet""."
 Magia Record: Mahou Shoujo Madoka★Magica Gaiden,"['Anime', 'Drama', 'Psychological', 'Thriller']","['7.8', '71']",Hoàn thành,13,2020,Câu chuyện nói về một thiếu nữ tên Iroha trên con đường tìm kiếm em gái thất lạc của mình – Ui.
Beastars,"['Anime', 'Đời thường', 'Shounen', 'Drama', 'Psychological']","['9.0', '212']",Hoàn thành,12,2019,"Trong một thế giới mà đại diện cho con người là đa chủng loài các loài thú vật, câu truyện xoay quanh Legosi, một chú sói xám bị bạn học cùng trường xa lánh vì là một thú ăn thịt hung dữ. Ngày nọ, một vụ án mạng xảy ra với vai chính của clb kịch trường, Legosi tuy bị nhiều ngờ vực thì ngẫu nhiên được minh tinh Louis chọn làm vệ sĩ để canh chừng trong lúc anh tập kịch cho một diễn viên khác thế vai chính đã tử nạn."
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Psychological']","['9.5', '34']",Hoàn thành,1,2019,"""Bạn có thể trở thành giáo viên của tôi?"" Sau sự cố ở Liên minh Đông Nam Á (SEAUn) năm 2116, Shinya Kogami tiếp tục hành trình mơ hồ của mình. Trong một quốc gia Nam Á nhỏ bé, Kogami giải cứu một chiếc xe buýt của những người tị nạn bị tấn công bởi lực lượng du kích vũ trang. Trong số những người tị nạn có một cô gái trẻ tên là Tenzin, người cầu xin Kogami dạy cô cách trả thù kẻ thù. Cô gái nào muốn trả thù và người đàn ông đã trả thù chính xác sẽ nhìn thấy gì khi họ nhìn vào rìa của một thế giới không có lối thoát?"
Psycho-Pass: Sinners of the System Case.2 – First Guardian,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Psychological']","['8.2', '23']",Hoàn thành,1,2019,"""Điều gì thực sự đã xảy ra trong Chiến dịch Footstamp?!""

2112; mùa hè trước khi Akane Tsunemori được giao cho Phòng Một của Cục Điều tra Hình sự của Cục An toàn Công cộng. Teppei Sugo, một phi công tài ba của Lực lượng đặc nhiệm số 15 của Quân đội Quốc phòng, tham gia chiến dịch quân sự ở Okinawa. Ba tháng sau, một máy bay không người lái chiến đấu không người lái nổ súng vào Bộ Quốc phòng ở Tokyo. Enforcer Tomomi Masaoka của CID Division One được phái đến căn cứ quân sự của Sugo để điều tra sự thật đằng sau vụ án này."
Psycho-Pass: Sinners of the System Case.1 - Tsumi to Bachi,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Psychological']","['8.5', '38']",Hoàn thành,1,2019,"Vào mùa đông năm 2117, một chiếc xe bỏ chạy đâm vào Tòa nhà Cục An toàn Công cộng. Người lái xe được xác định là Izumi Yasaka, một cố vấn tâm lý tại Sanctuary, một cơ sở cách ly tội phạm tiềm ẩn ở tỉnh Aomori. Nhưng ngay trước khi bị thẩm vấn, Enforcer Mika Shimotsuki và Thanh tra Nobuchika Ginoza được giao nhiệm vụ nhanh chóng hộ tống Yasaka trở lại Aomori. Điều đang chờ đợi họ ở đó là Thiên đường Sai."
Kakegurui××,"['Anime', 'Học đường', 'Shounen', 'Trò chơi', 'Bí ẩn', 'Drama', 'Psychological']","['9.5', '553']",Hoàn thành,12,2019,Phần 2 của Kakegurui
Boogiepop wa Warawanai,"['Anime', 'Kinh dị', 'Siêu nhiên', 'Bí ẩn', 'Psychological']","['7.6', '1194']",Hoàn thành,18,2019,"Có một truyền thuyết được truyền miệng từ những đứa trẻ - một truyền thuyết về một tử thần có thể giải phóng con người khỏi nỗi đau mà họ đang chịu đựng. Tử thần này có tên là Boogiepop. Nhưng đây không phải là một truyền thuyết hư cấu, vì Boogiepop có tồn tại. Tại học việc Shinyo, đột ngột diễn ra hàng loạt vụ mất tích của các nữ sinh. Cảnh sát nói rằng họ đã lùng ra kẻ tình nghi và sẽ bắt được chúng sớm thôi. Thế nhưng Nagi Kirima biết rõ hơn hết đây không phải là những vụ mất tích bình thường. Một thứ gì đó bí ẩn và ghê tởm đang đến gần. Đó có phải là Boogiepop không? Hay là thứ gì đó còn tàn ác hơn cả tử thần...?"
Inuyashiki,"['Drama', 'Anime', 'Hành động', 'Psychological', 'Viễn tưởng']","['9.3', '453']",Hoàn thành,11,2017,"Inuyashiki Ichirou không may mắn. Trong khi chỉ mới 58 tuổi, vẻ ngoài của ông thường khiến ông bị coi là một người đàn ông đáng thương của thế giới xung quanh và ông luôn bị bỏ quên và thiếu tôn trọng bởi gia đình mình bất chấp tất cả những gì ông đã làm để hỗ trợ họ. Trên tất cả mọi thứ khác, bác sĩ của ông đã tiết lộ rằng ông bị ung thư và dường như ông có ít thời gian để lại trong thế giới này. Nhưng chỉ khi có vẻ mọi việc không tồi tệ gì, một ánh sáng mù quáng trên bầu trời đêm tấn công trái đất nơi Ichirou đứng lên. Sau đó ông thức dậy để thấy mình không bị tổn thương, nhưng ông sớm nhận ra rằng có cái gì đó ... khác nhau về chính mình. Tuy nhiên, hóa ra những thay đổi kỳ lạ, mới mẻ này là những gì Ichirou cần để có một hợp đồng mới cho cuộc sống và bây giờ có vẻ như không có gì ngăn cản anh ta trở thành một anh hùng xứng đáng với sự tôn trọng mà anh chưa bao giờ có trước đây ... trừ khi , Có nghĩa là, có một người khác ở ngoài cùng với những thay đổi này ... 
 "
Bullbuster,"['Anime', 'Hành động', 'Mecha', 'Viễn tưởng']","['4.8', '31']",Hoàn thành,12,202,"Một kỹ sư trẻ, Tetsurou Okino, được chuyển đến một công ty tiêu diệt sâu bọ tên là Hato Industries cùng với robot Bullbuster mới do chính anh phát triển. Ở đó, Hato Industries, một công ty nhỏ có ít tiền và chủ tịch Tajima của nó đang chống lại một sinh vật bí ẩn. Có chi phí nhiên liệu cho robot, chi phí nhân công cho phi công và tất nhiên, việc lãng phí dù chỉ một viên đạn là không thể chấp nhận được. Giữa lý tưởng tiêu diệt của họ và thực tế về ngân sách, tương lai của Hato sẽ ra sao?"
Suisei no Gargantia Specials,"['Anime', 'Hành động', 'Viễn tưởng', 'Mecha']","['8.3', '43']",Hoàn thành,4,2013,2 OVA tương ứng tập 14 và 15.
Gundam Build Metaverse,"['Anime', 'Mecha']","['6.0', '21']",Đang tiến hành,1,2023,N/A
Synduality: Noir,"['Anime', 'Mecha', 'Viễn tưởng']","['9.3', '124']",Hoàn thành,12,2023,"Năm là 2222. Đã từ rất lâu kể từ sự kiện Tân Nguyệt Thạch Lệ, một cơn mưa bí ẩn, trút xuống và xóa sạch gần như toàn bộ loài người. Cơn mưa độc hại này tạo ra những sinh vật biến dạng ăn thịt người, và nhân loại phải chạy trốn khỏi nguy hiểm. Để tồn tại, con người đã xây dựng một nơi trú ẩn dưới lòng đất được gọi là Amasia. Trong thành phố tàn bạo mới và trong nỗ lực duy trì sự tồn tại, họ đã gặp phải một Trí tuệ Nhân tạo có tên là Magus. Không biết mọi chuyện sẽ diễn ra như thế nào giữa họ, câu chuyện về con người và Trí tuệ Nhân tạo đồng hành và cố gắng tìm ra sự thật của mình bắt đầu."
Mobile Suit Gundam: Suisei no Majo Season 2,"['Anime', 'Hành động', 'Mecha', 'Viễn tưởng']","['7.0', '69']",Hoàn thành,12,2023,Phần 2 của Mobile Suit Gundam: Suisei no Majo
Alice Gear Aegis Expansion,"['Anime', 'Hành động', 'Mecha', 'Viễn tưởng']","['4.8', '73']",Hoàn thành,12,2023,"Thời gian là tương lai, dưới sự tấn công bất ngờ của dạng sống máy móc ""Weiß"", con người buộc phải thoát khỏi trái đất và tiến vào vũ trụ. Trong thời gian chạy trốn, Space Fleet SHARD đã phát triển thành công Alice Gear, một bộ giáp có thể cho phép con người chiến đấu chống lại Weiß, và gọi những người phụ nữ xuất sắc phù hợp để vận hành họ là Actress."
Megaton-kyuu Musashi 2nd Season,"['Anime', 'Hành động', 'Học đường', 'Mecha', 'Viễn tưởng']","['3.0', '67']",Đang tiến hành,11,2023,N/A
Mobile Suit Gundam: The Witch from Mercury,"['Anime', 'Hành động', 'Mecha', 'Quân đội', 'Viễn tưởng']","['7.5', '154']",Hoàn thành,13,2022,"Một thời đại mà vô số các tập đoàn đã xâm nhập vào không gian và xây dựng một hệ thống kinh tế khổng lồ. Một cô gái đơn độc từ hành tinh xa xôi Mercury chuyển đến Trường Công nghệ Asticassia, được điều hành bởi Tập đoàn Beneritt, công ty thống trị ngành công nghiệp đồ di động. Tên cô ấy là Suletta Mercury. Với ánh sáng đỏ rực cháy trong trái tim thuần khiết của mình, cô gái này từng bước đi qua một thế giới mới."
Muv-Luv Alternative 2nd Season,"['Anime', 'Hành động', 'Mecha', 'Quân đội', 'Drama', 'Viễn tưởng']","['4.0', '56']",Hoàn thành,12,2022,Mùa thứ 2 của Series anime Muv-Luv Alternative
Kyoukai Senki,"['Anime', 'Hành động', 'Mecha']","['8.2', '119']",Hoàn thành,25,2021,"Vào năm 2061 sau Công nguyên, Nhật Bản đã mất chủ quyền. Người dân Nhật Bản trải qua những ngày tháng của họ như những công dân bị áp bức sau khi bị phân chia và cai trị bởi bốn phe thương mại lớn. Đất nước này đã trở thành nước đi đầu trên thế giới sau khi mỗi khối kinh tế triển khai AMAIM - một loại vũ khí di động đặc biệt giống hình người. Một ngày nọ, Amou Shiiba, một cậu bé thích máy móc, gặp Gai, một A.I. có tư duy tự chủ. Cuộc gặp gỡ khiến Amou lao vào cuộc chiến giành lại đất nước Nhật Bản, lái chiếc AMAIM Kenbu do chính anh chế tạo."
Date A Live IV,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Học đường', 'Mecha']","['9.7', '593']",Hoàn thành,12,2022,Phần thứ tư của series Date a Live
Megaton-kyuu Musashi,"['Anime', 'Hành động', 'Giả tưởng', 'Học đường', 'Mecha']","['5.5', '57']",Đang tiến hành,13,2021,"Trong một thị trấn bình thường, có những người sống một cuộc sống yên bình và viên mãn. Nhưng họ không biết rằng đó là một nền hòa bình giả tạo. Sự thật chưa kể ... Trái đất đã bị hủy diệt ... 99,9% loài người đã bị xóa sổ bởi một thế lực bí ẩn ngoài không gian. Kẻ thù được đặt tên là ""Dracters."" Cuối cùng, một lỗ lớn đã được khoan trên trái đất và được địa hình hóa thành một môi trường thích hợp cho người ngoài hành tinh sinh sống. Con người không còn cách nào khác là phải trốn vào những nơi trú ẩn để thoát khỏi tầm mắt của chúng. Chờ đợi ngày sống lại, mà họ không biết khi nào nó sẽ đến ... Những cư dân của nơi trú ẩn Ixia đã bị xóa ký ức của họ về ngày tàn phá, và sống một cuộc sống bình thường mà không biết gì về nó. Tuy nhiên, một số người trong số họ, ""những người được chọn,"" đã trở thành phi công, lái những con robot khổng lồ được gọi là ""Rogue"" và chiến đấu chống lại người ngoài hành tinh. Hôm nay, một phi công mới khác được chọn ..."
86 (Eighty Six) 2nd Season,"['Anime', 'Hành động', 'Giả tưởng', 'Mecha', 'Quân đội', 'Drama']","['9.7', '893']",Hoàn thành,15,2021,Mùa thứ 2 của anime 86
Gundam Breaker: Battlogue,"['Anime', 'Hành động', 'Mecha']","['4.6', '28']",Hoàn thành,6,2021,N/A
Gyakuten Sekai no Denchi Shoujo,"['Anime', 'Hành động', 'Giả tưởng', 'Mecha']","['7.8', '73']",Đang tiến hành,12,2021,N/A
Sakugan,"['Anime', 'Giả tưởng', 'Mecha']","['7.7', '65']",Hoàn thành,12,2021,"Trong tương lai xa, loài người bị đẩy vào thế giới sâu thẳm dưới lòng đất gọi là Labyrinth và họ đang sống kề vai nhau. Mê cung có một số thuộc địa với môi trường khắc nghiệt chẳng hạn như một thuộc địa có nhiệt độ cực cao, trong khi một thuộc địa khác chứa đầy vàng và bạc. Trong số đó, tại một thuộc địa của Hán Việt, có một cô bé chín tuổi tò mò tên là Memempuu và cha cô ấy là Gaganbar. Là những “công nhân” nhằm mục đích sinh tồn, họ sống với nghề thấp nhất là cưỡi rô-bốt làm việc để đào quặng."
Muv-Luv Alternative,"['Anime', 'Hành động', 'Giả tưởng', 'Mecha', 'Quân đội']","['6.3', '89']",Hoàn thành,12,2021,"Một ngày nọ, Takeru tỉnh dậy trên chiếc giường của mình và tin rằng mọi thứ mình thấy chỉ là một giấc mơ. Tuy nhiên, sự thật không như cậu nghĩ: cậu đã bị đưa về ngày đầu tiên khi cậu xuất hiện ở thế giới Unlimited, ngày 22 tháng 10 năm 2001. Nhưng thay vì để thảm họa xảy ra thêm một lần nữa, Takeru quyết định ngăn chặn việc đó trước khi nó đến. Giải pháp: Hoàn tất chương trình Alternative IV – Niềm hi vọng cuối cùng của loài người"
IS: Infinite Stratos SS1,"['Anime', 'Hành động', 'Hài hước', 'Viễn tưởng', 'Harem', 'Shounen', 'Mecha']","['9.1', '818']",Hoàn thành,12,2011,"Trong tương lai , một nhà khoa học Nhật Bản đã phát minh ra 1 bộ giáp hỗ trợ gọi là Infinite Stratos (IS). Hiện đại và có khả năng chiến đấu tiên tiến hơn bất cứ loại vũ khí nào, IS là một mối đe dọa sẽ làm mất cân bằng thế giới. Đối mặt với 1 thứ vũ khí quá mạnh, các nước trên thế giới đã ký Hợp đồng Alaska, nói rằng IS sẽ không bao giờ sử dụng trong quân sự và công nghệ IS sẽ được công bố khắp thế giới, để cấm bất cứ nước nào xâm lược nước khác. Sự giới thiệu của IS gây nên 1 ảnh hưởng lớn tới cộng đồng. Vì IS chỉ có thể điều khiển bởi phụ nữ, sự cân bằng nam nữ bị phá vỡ, vai trò của phụ nữ quan trọng hơn đàn ông.
Mười năm sau khi IS đầu tiên được công bố,thế giới đã tiến vào 1 kỷ nguyên hòa bình. Tuy nhiên,hòa bình đó sớm tan vỡ bởi một phát hiện không thể ngờ. Một thiếu niên người Nhật 15 tuổi,tên là Ichika Orimura, được phát hiện rằng có khả năng điều khiển 1 IS. Nhận ra tiềm năng của cậu, bị chính phủ Nhật ép buộc,Ichika phải nhập học Học Viện Infinite Stratos uy tín, một trường học quốc tế nơi các phi công IS từ khắp thế giới vào học. Và cuộc sống là 1 học sinh bận rộn của cậu bị bao quanh bởi các cô gái bắt đầu."
Evangelion: 3.0 1.0 Thrice Upon a Time,"['Anime', 'Hành động', 'Viễn tưởng', 'Drama', 'Mecha']","['9.4', '75']",Hoàn thành,1,2021,"Hậu quả của Chấn Động Thứ Tư, bị mắc kẹt mà không có Evangelion của mình, Shinji, Asuka và Rei tìm nơi trú ẩn tại một trong những ngôi làng hiếm hoi vẫn còn tồn tại trên Trái Đất đổ nát. Ở đó, họ sống một cuộc sống khác xa so với những ngày là một phi công Evangelion. Tuy nhiên, mối nguy hiểm đối với thế giới còn lâu mới kết thúc. Một Chấn Động mới đang xuất hiện ở phía chân trời - một Chấn Động sẽ đặt dấu chấm hết cho Evangelion. Cuối cùng, Dự án Hoàn Thiện Con Người được khởi động, WILLE thực hiện một nỗ lực yếu ớt nhằm ngăn Chấn Động cuối cùng."
86 (Eighty Six),"['Anime', 'Hành động', 'Giả tưởng', 'Drama', 'Mecha', 'Quân đội']","['9.5', '770']",Hoàn thành,12,2021,Cộng Hòa San Magnolia.
Planet With,"['Anime', 'Hành động', 'Viễn tưởng', 'Mecha']","['7.4', '16']",Hoàn thành,12,2018,"Sora Kuroi sống một cuộc sống yên bình mặc dù không có ký ức về quá khứ của mình. Nhưng một ngày, thành phố của anh đột nhiên bị tấn công bởi một cỗ máy khổng lồ được gọi là ""Vũ khí Nebula"". Cùng với Thầy giống mèo và cô gái lolita gothic Ginko, anh ta bị kéo vào cuộc chiến, nhưng anh ta kết thúc với kẻ thù của bảy anh hùng đang làm việc để bảo vệ thành phố. Lý do chiến đấu của Soya bị khóa chặt trong ký ức của anh là gì?"
SSSS.Dynazenon,"['Anime', 'Hành động', 'Viễn tưởng', 'Mecha']","['6.1', '107']",Hoàn thành,23,2021, 
Shin Sakura Taisen the Animation,"['Anime', 'Hành động', 'Viễn tưởng', 'Phiêu lưu', 'Mecha']","['7.9', '38']",Hoàn thành,12,2020,Được chuyển thể từ tựa game Shin Sakura Taisen
